BOROUGH,GRADE ,PROGRAM TYPE,NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
Brooklyn,0K,GEN ED,17264,783,22
Brooklyn,0K,CTT,3056,149,20.5
Brooklyn,0K,G&T,390,21,18.6
Brooklyn,1,GEN ED,18658,823,22.7
Brooklyn,1,CTT,2783,126,22.1
Brooklyn,1,G&T,512,22,23.3
Brooklyn,2,GEN ED,18083,784,23.1
Brooklyn,2,CTT,2775,123,22.6
Brooklyn,2,G&T,370,17,21.8
Brooklyn,3,GEN ED,17201,737,23.3
Brooklyn,3,CTT,2803,120,23.4
Brooklyn,3,G&T,817,36,22.7
Brooklyn,4,GEN ED,16729,674,24.8
Brooklyn,4,CTT,2940,121,24.3
Brooklyn,4,G&T,939,39,24.1
Brooklyn,5,GEN ED,16460,652,25.2
Brooklyn,5,CTT,2498,104,24
Brooklyn,5,G&T,976,40,24.4
Brooklyn,6,GEN ED,14553,552,26.4
Brooklyn,6,CTT,3046,127,24
Brooklyn,6,G&T,2142,71,30.2
Brooklyn,7,GEN ED,15006,557,26.9
Brooklyn,7,CTT,2931,118,24.8
Brooklyn,7,G&T,2140,72,29.7
Brooklyn,8,GEN ED,15562,576,27
Brooklyn,8,CTT,2666,107,24.9
Brooklyn,8,G&T,2464,80,30.8
Brooklyn,9,GEN ED,165,10,16.5
Brooklyn,0K-09,SPEC ED,2699,276,9.8
Brooklyn,0K-09,SPEC ED,7903,815,9.7
Brooklyn,0K-09,SPEC ED,16,2,8
Brooklyn,0K-09,SPEC ED,6,1,6
Brooklyn,0K-09,SPEC ED,12,1,12
Brooklyn,MS Core,GEN ED,50800,1927,26.4
Brooklyn,MS Core,GEN ED,41593,1572,26.5
Brooklyn,MS Core,GEN ED,3143,111,28.3
Brooklyn,MS Core,GEN ED,148,7,21.1
Brooklyn,MS Core,GEN ED,342,12,28.5
Brooklyn,MS Core,GEN ED,1418,47,30.2
Brooklyn,MS Core,GEN ED,17,1,17
Brooklyn,MS Core,GEN ED,41160,1535,26.8
Brooklyn,MS Core,GEN ED,1896,64,29.6
Brooklyn,MS Core,GEN ED,3264,121,27
Brooklyn,MS Core,GEN ED,10,1,10
Brooklyn,MS Core,GEN ED,71,3,23.7
Brooklyn,MS Core,GEN ED,2845,108,26.3
Brooklyn,MS Core,GEN ED,41981,1563,26.9
Brooklyn,MS Core,GEN ED,2284,79,28.9
Brooklyn,MS Core,GEN ED,842,35,24.1
Brooklyn,MS Core,GEN ED,2264,84,27
Brooklyn,MS Core,CTT,8166,329,24.8
Brooklyn,MS Core,CTT,7199,288,25
Brooklyn,MS Core,CTT,81,3,27
Brooklyn,MS Core,CTT,20,1,20
Brooklyn,MS Core,CTT,76,3,25.3
Brooklyn,MS Core,CTT,33,1,33
Brooklyn,MS Core,CTT,7221,288,25.1
Brooklyn,MS Core,CTT,80,3,26.7
Brooklyn,MS Core,CTT,176,7,25.1
Brooklyn,MS Core,CTT,725,29,25
Brooklyn,MS Core,CTT,6891,274,25.1
Brooklyn,MS Core,CTT,75,3,25
Brooklyn,MS Core,CTT,161,6,26.8
Brooklyn,MS Core,CTT,262,11,23.8
Brooklyn,MS Core,SPEC ED,2301,216,10.7
Brooklyn,MS Core,SPEC ED,2098,198,10.6
Brooklyn,MS Core,SPEC ED,10,1,10
Brooklyn,MS Core,SPEC ED,11,1,11
Brooklyn,MS Core,SPEC ED,22,2,11
Brooklyn,MS Core,SPEC ED,12,1,12
Brooklyn,MS Core,SPEC ED,2046,194,10.5
Brooklyn,MS Core,SPEC ED,21,2,10.5
Brooklyn,MS Core,SPEC ED,21,2,10.5
Brooklyn,MS Core,SPEC ED,125,11,11.4
Brooklyn,MS Core,SPEC ED,2045,195,10.5
Brooklyn,MS Core,SPEC ED,11,1,11
Brooklyn,MS Core,SPEC ED,68,6,11.3
